Rowid_,LABEL,ALDI,ALFM,ALGS,FLAB,FLAC,FLAL,FLBA,FLBC,FLBI,FLCB,FLCE,FLCK,FLCO,FLCR,FLDB,FLDC,FLDT,FLFD,FLFG,FLFL,FLFM,FLFP,FLJA,FLJD,FLKD,FLKL,FLKW,FLLK,FLLO,FLMI,FLMT,FLNA,FLNP,FLNR,FLPE,FLPI,FLPR,FLPS,FLSA,FLSB,FLSC,FLSM,FLSP,FLSR,FLST,FLTA,FLTT,FLVE,FLWP,LACR,LAGI,LAJB,LANO,LANS,LASA,LAVE,MSJC,MSSH,TXAR,TXAY,TXBP,TXCC,TXCF,TXCT,TXFR,TXGA,TXGF,TXHO,TXKW,TXLA,TXMM,TXOC,TXOR,TXPA,TXRO,TXSB,TXSR
42,Deciduous Forest,2230,503,8939,0,3476,0,1,14358,0,9620,0,0,0,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3588,0,0,8138,0,0,0,4720,0,0,0,0,0,0,0,1,192,14,26129,12591,6,2664,13329,9072,98265,81508,882,13367,4964,2362,41666,2017,41954,51876,2081,5111,38831,37992,36050,13754,14505,44612,0
43,Evergreen Forest,32377,8886,82429,52152,28649,34985,18185,55166,192,83998,136,73745,41046,80564,219111,1711,0,1011,242343,7093,20312,41169,75848,52166,3591,22,4,26,69476,96492,162076,33933,9041,61041,35213,142502,32952,47847,106363,60003,4152,141745,8469,17522,45938,9318,9090,26563,20892,1,329,7,533,83465,1,16,167431,165936,10458,37923,25,11688,2097,1139,46530,1171,7178,2975,1156,3862,6711,77200,15609,17004,16507,62010,53
44,Mixed Forest,16524,1434,20323,0,8505,0,0,24515,0,37329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10132,0,0,25655,0,0,0,34224,0,0,0,0,0,0,0,0,0,0,0,19037,0,18,65874,62133,1084,10269,0,180,19,0,44,0,368,25729,0,1424,67,82806,135481,2372,1802,413,0
52,Shrubland ,0,0,0,9042,0,1782,1540,0,7265,0,70,2772,1399,20454,4893,474,0,305,3643,515,1159,222,2093,3558,657,546,1091,10789,173,2062,669,2947,961,3615,0,3196,4038,0,1412,762,2633,6506,1767,2287,1464,1258,1392,1232,782,0,0,0,0,0,0,0,0,0,37688,4589,0,20339,19826,21251,8130,1137,52757,0,27919,74174,26232,0,0,10413,21101,9423,1
62,Orchards/Vineyards/Other ,0,0,0,4651,0,28129,21646,0,41,0,105,61,12404,251,635,1324,0,291,161,12502,3723,101162,515,33909,2533,147,784,754,61,4769,150,4461,18380,8331,0,855,9678,0,371,40101,118,219,4194,7797,9434,11902,3946,45,19540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
63,LULC Orchards/Vineyards/Other,613,0,3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,195,2724,202,0,125,0,0,0,0,98,0,0,6,0,992,0,0,146,0,0,98,0
72,Grasslands/Herbaceous ,2364,5059,4262,73843,2181,91860,39261,609,535,0,915,1972,13857,59620,4691,1017,0,1737,28280,3241,4517,34026,4996,27618,3033,332,1363,608,192104,3064,2050,14339,15363,39656,0,15202,23231,3727,13119,37937,736,12093,7522,46298,25285,20946,3596,58813,9993,7917,151,17272,5619,7273,7510,26,0,110,29843,20766,5350,11809,50740,56112,15121,3694,47477,0,130333,98209,18787,43,207,21923,48765,12801,24077
82,Pasture/Hay ,8525,115,105340,2101,529,38165,18805,3790,31,10242,88,77,8274,2643,3269,887,0,0,2886,8770,1298,24801,381,10297,1970,1,0,14,36,393,451,3227,6836,2312,8815,15736,28164,1696,1085,16577,0,494,3053,19155,6070,5796,3571,9267,29860,8390,158,1798,1059,6816,95,4155,27815,40637,8293,59036,2660,29051,27012,8064,43170,2327,47237,127750,1510,19761,20730,77495,72990,3241,19086,35381,2
83,Row Crops ,2616,40,38208,19051,541,60667,8971,2532,79,3987,72,81,3586,15885,1485,887,0,0,10973,3983,5955,10767,3037,5082,6339,10,0,0,153,1320,1437,9503,1673,4197,4128,4845,2143,2536,3957,19029,0,5206,1819,6086,3993,3796,28740,80,28840,0,393,0,1514,424,0,0,7223,10184,25131,2684,20,239524,15959,907,3031,102,78527,717,57,115327,16454,95,197,142,28172,3519,0
84,Small Grains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,115,15,0,39,0,0,4,565,27938,86,0,0,1137,41,562,42715,0,0,375,1620,23072,17,144,551,1
85,Fallow ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Urban/Recreational Grasses,2068,0,10236,4033,1463,9128,14322,12215,2,19531,5,0,2108,2864,2479,8639,0,170,1110,27945,11070,6754,3879,11909,18000,259,163,0,0,0,843,19159,12019,3645,18017,4218,10891,1574,1215,2143,469,0,18163,15997,18636,9675,4025,13169,27177,0,915,18,9916,2236,10,1203,8604,4651,0,13159,4,1841,5700,443,4185,5051,126,21822,0,167,129,8793,1669,37,1857,173,282
92,Woody Wetlands ,30425,8226,49332,48895,92497,63908,57835,83419,23282,19715,182169,86781,31699,72690,70090,5036,0,3681,95395,9495,73749,44730,40124,60956,10563,20828,29216,44742,42041,32056,90182,105602,100830,65973,28280,102942,77577,161953,54235,85713,32414,107790,26556,33959,39779,40934,221345,60958,18774,1797,1005,896,4001,15838,44,535,47931,81341,4922,3872,62,1861,237,2465,14207,620,35298,0,12,777,5000,13412,64007,115,345,13193,451
93,Emergent Herbaceous Wetlands,33707,7977,8731,47468,36698,14888,12954,15336,15236,1024,2501,75888,53691,75531,15440,8935,0,1037,22083,34603,16021,30215,98083,83285,13770,1391,4190,5211,192106,97048,33968,31169,10318,24505,14463,20705,19573,13868,40498,85166,3341,69443,8594,18673,45392,12559,51428,19020,36626,336388,66180,339222,168948,103994,252711,134077,57328,71235,116863,19047,229437,66220,43363,81477,205602,84862,119792,6501,77737,52720,131209,54567,76895,53171,42173,210309,275209
100,Undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
