COMMON_NAME,SCIENTIFIC_NAME ,LCTA_CODE,ALPHA_CODE ,AOU,NEO_STAT,NEST_LOC,NEST_TYPE,FOOD_TYPE,FORAGING_SUBSTRATE,FORAGING_TECHNIQUE,HABITAT,NOTES
"Blackbird, Brewer’s",Euphagus cyanocephalus,EUCY,BRBL,5100,B,"Woody Upper Canopy, Ground",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Riparian",NA
"Blackbird, Red-winged",Agelaius phoeniceus,AGPH,RWBL,4980,B,"Reed, Shrub",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Swamp/Marsh, Riparian",NA
"Blackbird, Rusty",Euphagus carolinus,EUCA1,RUBL,5090,R,"Woody Lower Canopy, Shrub",Cup,"Insects, Seeds",Ground,Ground Gleaner,"Swamp/Marsh, Riparian",NA
"Blackbird, Tricolored",Agelaius tricolor,AGTR,TRBL,5000,R,"Reed, Shrub",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Swamp/Marsh, Cropland",NA
"Blackbird, Yellow-headed",Xanthocephalus xanthocephalus,XAXA,YHBL,4970,A,"Reed, Shrub",Cup,"Insects, Seeds","Ground, Air","Ground Gleaner, Hawker",Swamp/Marsh,NA
"Bluebird, Eastern",Sialia sialis,SISI,EABL,7660,B,"Snag, Woody Upper Canopy",Cavity,"Insects, Fruit","Air, Foliage","Hawker, Foliage Gleaner","Forest Edge, Grassland",NA
"Bluebird, Mountain",Sialia currucoides,SICU,MOBL,7680,B,"Snag, Woody Upper Canopy",Cavity,"Insects, Fruit",Ground,"Swooper, Hover & Pounce","Forest, Grassland",NA
"Bluebird, Western",Sialia mexicana,SIME,WEBL,7670,B,"Snag, Woody Upper Canopy",Cavity,"Insects, Fruit","Air, Foliage","Hawker, Foliage Gleaner","Riparian, Grassland",NA
Bluethroat,Luscinia svecica,LUSV,BLUE,7640,R,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,"Tundra, Rocky Slope",NA
Bobolink,Dolichonyx oryzivorus,DOOR,BOBO,4940,A,Ground,Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Grassland, Swamp/Marsh",NA
"Bobwhite, Northern",Colinus virginianus,COVI,NOBO,2890,R,Ground,Scrape,"Greens, Seeds",Ground,Ground Gleaner,"Forest Edge, Shrubland",NA
"Booby, Blue-footed",Sula nebouxii,SUNE,BFBO,1141,R,Ground,Scrape,Fish,Water,High Dives,"Coastal, Pelagic",NA
"Booby, Brown",Sula leucogaster,SULE,BRBO,1150,R,Ground,Scrape,Fish,Water,High Dives,"Coastal, Pelagic",NA
"Booby, Masked",Sula dactylatra,SUDA,MABO,1140,R,Ground,Scrape,Fish,Water,High Dives,"Coastal, Pelagic",NA
"Booby, Red-footed",Sula sula,SUSU,RFBO,1160,R,"Woody Upper Canopy, Ground","Platform, Scrape",Fish,Water,"High Dives, Skimmer","Coastal, Pelagic",NA
Brant,Branta bernicla,BRBE,BRAN,1730,R,Ground,Scrape,"Greens, Aquatic Inverts",Water,"Surface Dips, Dabbler","Tundra, Shoreline",NA
Bufflehead,Bucephala albeola,BUAL,BUFF,1530,R,"Snag, Bank","Cavity, Burrow",Aquatic Inverts,Water,Surface Dives,"Freshwater, Forest",NA
"Bunting, Indigo",Passerina cyanea,PACY,INBU,5980,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Seeds","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Forest Edge, Shrubland",NA
"Bunting, Lark",Calamospiza melanocorys,CAME,LARB,6050,A,Ground,Cup,"Insects, Seeds","Ground, Air","Ground Gleaner, Hawker","Grassland, Shrubland",NA
"Bunting, Lazuli",Passerina amoena,PAAM1,LASB,5990,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Riparian",NA
"Bunting, McKay’s",Plectrophenax hyperboreus,PLHY,MKBU,5350,R,"Ground, Cliff","Crevice, Cavity","Insects, Seeds",Ground,Ground Gleaner,"Shoreline, Tundra",NA
"Bunting, Painted",Passerina ciris,PACI1,PABU,6010,A,"Shrub, Woody Lower Canopy",Cup,"Seeds, Insects","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Riparian",NA
"Bunting, Snow",Plectrophenax nivalis,PLNI,SNBU,5340,R,"Ground, Cliff","Crevice, Cavity","Insects, Seeds",Ground,Ground Gleaner,"Shoreline, Tundra",NA
"Bunting, Varied",Passerina versicolor,PAVE,VABU,6000,C,"Shrub, Woody Lower Canopy",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Shrubland,NA
Bushtit,Psaltriparus minimus,PSMI,BUTI,7430,R,"Woody Lower Canopy, Shrub",Pendant,"Insects, Seeds","Foliage, Bark","Foliage Gleaner, Bark Gleaner","Forest, Shrubland",NA
Canvasback,Aythya valisineria,AYVA,CANV,1470,R,"Reed, Floating",Cup,"Greens, Seeds",Water,"Surface Dives, Prober","Swamp/Marsh, Freshwater",NA
"Caracara, Crested",Polyborus plancus,POPL,CRCA,3620,R,"Woody Upper Canopy, Shrub",Platform,"Carrion, Small Verts",Ground,"Scavenger, Ground Gleaner",Shrubland,NA
"Cardinal, Northern",Cardinalis cardinalis,CACA4,NOCA,5930,R,"Shrub, Woody Lower Canopy",Cup,"Insects, Seeds",Ground,Ground Gleaner,"Shrubland, Urban",NA
"Catbird, Gray",Dumetella carolinensis,DUCA,GRCA,7040,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Riparian",NA
"Chachalaca, Plain",Ortalis vetula,ORVE,PLCH,3110,R,Woody Lower Canopy,Saucer,"Fruit, Insects","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Riparian, Forest Edge",NA
"Chat, Yellow-breasted",Icteria virens,ICVI,YBCH,6830,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit",Foliage,Foliage Gleaner,"Shrubland, Riparian",NA
"Chickadee, Black-capped",Parus atricapillus,PAAT,BCCH,7350,R,"Woody Lower Canopy, Snag",Cavity,"Insects, Seeds","Foliage, Bark","Foliage Gleaner, Bark Gleaner","Forest, Riparian",NA
"Chickadee, Boreal",Parus hudsonicus,PAHU,BOCH,7400,R,"Woody Lower Canopy, Snag",Cavity,"Insects, Seeds","Foliage, Bark","Foliage Gleaner, Bark Gleaner",Forest,NA
"Chickadee, Carolina",Parus carolinensis,PACA2,CACH,7360,R,"Woody Lower Canopy, Snag",Cavity,"Insects, Seeds","Foliage, Bark","Foliage Gleaner, Bark Gleaner","Forest, Riparian",NA
"Chickadee, Chestnut-backed",Parus rufescens,PARU,CBCH,7410,R,"Snag, Woody Lower Canopy",Cavity,"Insects, Seeds","Foliage, Bark","Foliage Gleaner, Bark Gleaner",Forest,NA
"Chickadee, Mexican",Parus sclateri,PASC,MECH,7370,R,"Snag, Woody Upper Canopy",Cavity,"Insects, Seeds","Foliage, Bark","Foliage Gleaner, Bark Gleaner",Forest,NA
"Chickadee, Mountain",Parus gambeli,PAGA,MOCH,7380,R,"Woody Lower Canopy, Snag",Cavity,"Insects, Seeds","Foliage, Bark","Foliage Gleaner, Bark Gleaner",Forest,NA
Chuck-will’s-widow,Caprimulgus carolinensis,CACA3,CWWI,4160,A,Ground,None,"Insects, Birds",Air,Aerial Foraging,Forest,NA
Chukar,Alectoris chukar,ALCH,CHUK,2882,R,Ground,Scrape,"Seeds, Insects",Ground,Ground Gleaner,"Grassland, Shrubland",NA
"Condor, California",Gymnogyps californianus,GYCA1,CALC,3240,R,Cliff,None,"Carrion, Fish",Ground,"Scavenger, High Patrol",Rocky Slope,NA
"Coot, American",Fulica americana,FUAM,AMCO,2210,R,Floating,Platform,"Greens, Aquatic Inverts","Water, Ground","Surface Dips, Ground Gleaner","Freshwater, Swamp/Marsh",NA
"Cormorant, Brandt’s",Phalacrocorax penicillatus,PHPE1,BRAC,1220,R,"Cliff, Ground",Saucer,Fish,Water,Surface Dives,"Coastal, Pelagic",NA
"Cormorant, Double-crested",Phalacrocorax auritus,PHAU,DCCO,1200,R,"Ground, Woody Upper Canopy",Platform,"Fish, Aquatic Inverts",Water,"Surface Dives, Surface Dips","Coastal, Freshwater",NA
"Cormorant, Great",Phalacrocorax carbo,PHCA,GRCO,1190,R,"Cliff, Woody Upper Canopy",Platform,"Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",NA
"Cormorant, Olivaceous",Phalacrocorax olivaceus,PHOL,OLCO,1210,R,"Shrub, Woody Lower Canopy",Platform,"Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",Incorrect data in original table; replaced with values of other Phalacrocorax species
"Cormorant, Pelagic",Phalacrocorax pelagicus,PHPE,PECO,1230,R,"Cliff, Ground",Platform,"Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",Incorrect data in original table; replaced with values of other Phalacrocorax species
"Cormorant, Red-faced",Phalacrocorax urile,PHUR,RFCO,1240,R,Cliff,Platform,"Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",NA
"Cowbird, Bronzed",Molothrus aeneus,MOAE,BROC,4960,C,"Woody Upper Canopy, Shrub",Parasitic,"Insects, Seeds",Ground,Ground Gleaner,"Shrubland, Cropland",NA
"Cowbird, Brown-headed",Molothrus ater,MOAT,BHCO,4950,B,"Woody Upper Canopy, Shrub",Parasitic,"Insects, Seeds",Ground,Ground Gleaner,"Forest Edge, Forest",NA
"Crane, Sandhill",Grus canadensis,GRCA1,SACR,2060,R,Ground,Saucer,"Aquatic Inverts, Insects","Water, Ground","Prober, Ground Gleaner","Swamp/Marsh, Freshwater",NA
"Crane, Whooping",Grus americana,GRAM,WHCR,2040,R,Ground,Saucer,"Aquatic Inverts, Fish","Water, Ground","Prober, Ground Gleaner","Swamp/Marsh, Freshwater",NA
"Creeper, Brown",Certhia americana,CEAM,BRCR,7260,B,Woody Upper Canopy,Cup,"Insects, Nuts","Bark, Air","Bark Gleaner, Hawker",Forest,NA
"Crossbill, Red",Loxia curvirostra,LOCU2,RECR,5210,R,Woody Upper Canopy,Cup,"Seeds, Fruit",Foliage,Foliage Gleaner,Forest,NA
"Crossbill, White-winged",Loxia leucoptera,LOLE1,WWCR,5220,R,Woody Upper Canopy,Cup,Seeds,"Foliage, Ground","Foliage Gleaner, Ground Gleaner",Forest,NA
"Crow, American",Corvus brachyrhynchos,COBR1,AMCR,4880,R,"Woody Upper Canopy, Shrub",Cup,"Insects, Seeds",Ground,"Scavenger, Ground Gleaner","Forest, Riparian",NA
"Crow, Fish",Corvus ossifragus,COOS,FICR,4900,R,"Woody Upper Canopy, Shrub",Cup,"Aquatic Inverts, Carrion",Ground,"Scavenger, Ground Gleaner","Shoreline, Freshwater",NA
"Crow, Northwestern",Corvus caurinus,COCA2,NOCR,4890,R,"Woody Upper Canopy, Shrub",Cup,"Aquatic Inverts, Insects",Ground,"Scavenger, Ground Gleaner","Forest, Forest Edge",NA
"Cuckoo, Black-billed",Coccyzus erythropthalmus,COER,BBCU,3880,A,"Woody Lower Canopy, Shrub","Platform, Parasitic","Insects, Fish",Foliage,"Scavenger, Foliage Gleaner","Forest, Forest Edge",NA
"Cuckoo, Mangrove",Coccyzus minor,COMI,MACU,3860,D,"Woody Lower Canopy, Shrub",Platform,"Insects, Fruit",Foliage,Foliage Gleaner,"Swamp/Marsh, Shrubland",NA
"Cuckoo, Yellow-billed",Coccyzus americanus,COAM,YBCU,3870,A,"Woody Lower Canopy, Shrub","Platform, Parasitic",Insects,"Foliage, Air","Foliage Gleaner, Hover Gleaner","Forest, Riparian",NA
"Curlew, Bristle-thighed",Numenius tahitiensis,NUTA,BTCU,2680,R,Ground,Scrape,"Fruit, Insects",Ground,Ground Gleaner,Tundra,NA
"Curlew, Eskimo",Numenius borealis,NUBO,ESCU,2660,R,Ground,Scrape,"Insects, Fruit",Ground,"Ground Gleaner, Prober","Tundra, Shoreline",NA
"Curlew, Long-billed",Numenius americanus,NUAM,LBCU,2640,A,Ground,Scrape,"Insects, Aquatic Inverts","Water, Ground","Prober, Ground Gleaner","Swamp/Marsh, Riparian",NA
Dickcissel,Spiza americana,SPAM,DICK,6040,A,"Ground, Shrub",Cup,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Cropland",NA
"Dipper, American",Cinclus mexicanus,CIME,AMDI,7010,R,"Cliff, MMS",Oven,"Aquatic Inverts, Fish",Water,Prober,"Freshwater, Riparian",NA
"Dove, Common Ground",Columbina passerina,COPA,COGD,3200,R,"Ground, Shrub",Saucer,"Seeds, Fruit",Ground,Ground Gleaner,"Forest Edge, Urban",NA
"Dove, Inca",Columbina inca,COIN1,INDO,3210,R,"Shrub, Woody Lower Canopy",Saucer,Seeds,Ground,Ground Gleaner,"Forest Edge, Shrubland",NA
"Dove, Mourning",Zenaida macroura,ZEMA,MODO,3160,B,"Woody Lower Canopy, Ground",Saucer,Seeds,"Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest Edge, Cropland",NA
"Dove, Rock",Columba livia,COLI,RODO,3131,R,"MMS, Cliff",Saucer,Seeds,Ground,Ground Gleaner,Urban,NA
"Dove, White-tipped",Leptotila verreauxi,LEVE,WTDO,3180,R,Woody Lower Canopy,Saucer,"Seeds, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Riparian, Cropland",NA
"Dove, White-winged",Zenaida asiatica,ZEAS,WWDO,3190,C,Woody Lower Canopy,Saucer,"Seeds, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Riparian, Shrubland",NA
Dovekie,Alle alle,ALAL1,DOVE,340,R,Cliff,Crevice,"Aquatic Inverts, Fish",Water,Surface Dives,"Coastal, Pelagic",NA
"Dowitcher, Long-billed",Limnodromus scolopaceus,LISC,LBDO,2320,R,Ground,Scrape,"Aquatic Inverts, Insects",Water,Prober,"Tundra, Swamp/Marsh",NA
"Dowitcher, Short-billed",Limnodromus griseus,LIGR,SBDO,2310,R,Ground,Scrape,"Aquatic Inverts, Insects",Water,Prober,"Tundra, Swamp/Marsh",NA
"Duck, American Black",Anas rubripes,ANRU,ABDU,1330,R,Ground,Scrape,"Aquatic Inverts, Seeds",Water,Dabbler,"Swamp/Marsh, Riparian",NA
"Duck, Black-bellied Whistling",Dendrocygna autumnalis,DEAU1,BBWD,1770,R,"Snag, Woody Upper Canopy",Cavity,Seeds,Ground,Ground Gleaner,"Swamp/Marsh, Riparian",NA
"Duck, Fulvous Whistling",Dendrocygna bicolor,DEBI,FUWD,1780,R,"Ground, Woody Lower Canopy",Saucer,"Greens, Seeds","Water, Ground","Surface Dips, Ground Gleaner",Swamp/Marsh,NA
"Duck, Harlequin",Histrionicus histrionicus,HIHI1,HARD,1550,R,Ground,Scrape,Aquatic Inverts,Water,"Surface Dives, Dabbler","Freshwater, Coastal",NA
"Duck, Masked",Oxyura dominica,OXDO,MADU,1680,R,Ground,Scrape,"Greens, Insects",Water,Surface Dives,"Swamp/Marsh, Freshwater",NA
"Duck, Mottled",Anas fulvigula,ANFU,MODU,1340,R,Ground,Scrape,"Aquatic Inverts, Insects",Water,Dabbler,Swamp/Marsh,NA
"Duck, Ring-necked",Aythya collaris,AYCO,RNDU,1500,R,"Ground, Floating",Scrape,"Greens, Aquatic Inverts",Water,Surface Dives,Swamp/Marsh,NA
"Duck, Ruddy",Oxyura jamaicensis,OXJA,RUDU,1670,R,Ground,Scrape,"Aquatic Inverts, Greens",Water,Surface Dives,"Swamp/Marsh, Freshwater",NA
"Duck, Tufted",Aythya fuligula,AYFU,TUDU,1491,R,"Ground, Bank",Burrow,"Greens, Insects",Water,"Ground Gleaner, Skimmer","Coastal, Freshwater",NA
"Duck, Wood",Aix sponsa,AISP,WODU,1440,R,"Snag, MMS",Cavity,"Aquatic Inverts, Seeds",Water,Dabbler,"Swamp/Marsh, Riparian",NA
Dunlin,Calidris alpina,CAAL1,DUNL,2430,R,Ground,Scrape,"Insects, Seeds","Ground, Water","Ground Gleaner, Prober","Coastal, Tundra",NA
"Eagle, Bald",Haliaeetus leucocephalus,HALE,BAEA,3520,R,"Woody Upper Canopy, Cliff",Platform,"Fish, Birds","Water, Ground","High Patrol, Low Patrol","Freshwater, Coastal",NA
"Eagle, Golden",Aquila chrysaetos,AQCH,GOEA,3490,B,"Cliff, Woody Upper Canopy",Platform,"Small Mammals, Birds",Ground,"High Patrol, Swooper","Grassland, Forest Edge",NA
"Eagle, White-tailed",Haliaeetus albicilla,HAAL,WTEA,3510,R,"Woody Upper Canopy, Cliff",Platform,"Fish, Birds","Water, Air","Skimmer, Hawker","Tundra, Coastal",NA
"Egret, Cattle",Bubulcus ibis,BUIB,CAEG,2001,R,"Woody Lower Canopy, Shrub",Platform,"Insects, Small Verts",Ground,Ground Gleaner,"Swamp/Marsh, Grassland",NA
"Egret, Great",Casmerodius albus,CAAL2,GREG,1960,R,"Woody Upper Canopy, Shrub",Platform,"Fish, Small Verts",Water,Ambusher,Swamp/Marsh,NA
"Egret, Reddish",Egretta rufescens,EGRU,REEG,1980,R,"Woody Lower Canopy, Shrub",Platform,"Fish, Aquatic Inverts",Water,Ambusher,"Coastal, Swamp/Marsh",NA
"Egret, Snowy",Egretta thula,EGTH,SNEG,1970,R,"Woody Lower Canopy, Shrub",Platform,"Aquatic Inverts, Fish",Water,Ambusher,"Swamp/Marsh, Freshwater",NA
"Eider, Common",Somateria mollissima,SOMO,COEI,1590,R,Ground,Scrape,"Aquatic Inverts, Fish",Water,"Surface Dives, Dabbler","Tundra, Coastal",NA
"Eider, King",Somateria spectabilis,SOSP,KIEI,1620,R,Ground,Scrape,Aquatic Inverts,Water,"Surface Dives, Dabbler","Tundra, Coastal",NA
"Eider, Spectacled",Somateria fischeri,SOFI,SPEI,1580,R,Ground,Scrape,"Aquatic Inverts, Greens",Water,"Dabbler, Surface Dips","Tundra, Coastal",NA
"Eider, Steller’s",Polysticta stelleri,POST,STEI,1570,R,Ground,Scrape,"Aquatic Inverts, Greens",Water,"Dabbler, Surface Dips","Tundra, Coastal",NA
"Falcon, Aplomado",Falco femoralis,FAFE,APFA,3590,R,"Woody Lower Canopy, Shrub",Platform,"Birds, Insects",Air,"Aerial Pursuit, Hawker","Grassland, Shrubland",NA
"Falcon, Peregrine",Falco peregrinus,FAPE,PEFA,3560,A,"Cliff, Woody Upper Canopy",Scrape,Birds,Air,Aerial Pursuit,"Forest, Grassland",NA
"Falcon, Prairie",Falco mexicanus,FAME,PRFA,3550,B,"Cliff, Woody Upper Canopy","Scrape, Crevice","Birds, Small Mammals","Air, Ground","Aerial Pursuit, Low Patrol","Grassland, Tundra",NA
Fieldfare,Turdus pilaris,TUPI,FIEL,7612,R,"Ground, Woody Lower Canopy",Cup,"Insects, Seeds",Ground,Ground Gleaner,Forest,NA
"Finch, Cassin’s",Carpodacus cassinii,CACA7,CAFI,5180,B,Woody Upper Canopy,Cup,"Seeds, Insects","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Forest,NA
"Finch, House",Carpodacus mexicanus,CAME2,HOFI,5190,R,"Woody Upper Canopy, Shrub","Cup, Cavity","Seeds, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Urban",NA
"Finch, Purple",Carpodacus purpureus,CAPU1,PUFI,5170,B,Woody Upper Canopy,Cup,"Seeds, Insects","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Forest Edge",NA
"Finch, Rosy",Leucosticte arctoa,LEAR,ROFI,5240,R,"Ground, Cliff","Cup, Crevice","Seeds, Insects",Ground,Ground Gleaner,"Rocky Slope, Tundra",NA
"Flamingo, Greater",Phoenicopterus ruber,PHRU,GREF,1820,R,Ground,Saucer,"Aquatic Inverts, Greens",Water,Prober,"Coastal, Swamp/Marsh",NA
"Flicker, Northern",Colaptes auratus,COAU,NOFL,4120,B,"Snag, Woody Lower Canopy",Cavity,"Insects, Seeds","Ground, Air","Ground Gleaner, Hawker","Forest, Urban",NA
"Flycatcher, Acadian",Empidonax virescens,EMVI,ACFL,4650,A,"Woody Lower Canopy, Shrub",Cup,"Insects, Fruit",Air,Hawker,"Riparian, Swamp/Marsh",NA
"Flycatcher, Alder",Empidonax alnorum,EMAL,ALFL,4661,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit",Air,Hawker,"Swamp/Marsh, Shrubland",NA
"Flycatcher, Ash-throated",Myiarchus cinerascens,MYCI,ATFL,4540,A,Woody Lower Canopy,Cavity,"Insects, Fruit",Air,"Hover Gleaner, Hawker","Shrubland, Riparian",NA
"Flycatcher, Brown-crested",Myiarchus tyrannulus,MYTY,BCFL,4530,C,"Woody Lower Canopy, Shrub",Cavity,"Insects, Fruit",Air,"Hover Gleaner, Hawker","Shrubland, Desert",NA
"Flycatcher, Buff-breasted",Empidonax fulvifrons,EMFU,BBFL,4700,C,Woody Upper Canopy,Cup,Insects,Air,Hawker,Forest,NA
"Flycatcher, Dusky",Empidonax oberholseri,EMOB,DUFL,4690,A,"Shrub, Woody Lower Canopy",Cup,Insects,Air,"Hawker, Hover Gleaner","Forest, Shrubland",NA
"Flycatcher, Dusky-capped",Myiarchus tuberculifer,MYTU,DCFL,4550,C,Woody Upper Canopy,Cavity,"Insects, Fruit",Air,"Hover Gleaner, Hawker","Riparian, Forest",NA
"Flycatcher, Gray",Empidonax wrightii,EMWR,GRFL,4691,A,"Shrub, Woody Lower Canopy",Cup,Insects,"Air, Ground","Hawker, Ground Gleaner",Shrubland,NA
"Flycatcher, Great-crested",Myiarchus crinitus,MYCR,GCFL,4520,A,"Woody Upper Canopy, Snag",Cavity,"Insects, Fruit","Air, Ground","Hawker, Ground Gleaner","Forest Edge, Forest",NA
"Flycatcher, Hammond’s",Empidonax hammondii,EMHA,HAFL,4680,A,Woody Upper Canopy,Cup,Insects,Air,Hawker,Forest,NA
"Flycatcher, Least",Empidonax minimus,EMMI1,LEFL,4670,A,"Woody Upper Canopy, Shrub",Cup,"Insects, Fruit",Air,"Hover Gleaner, Hawker","Forest, Urban",NA
"Flycatcher, Olive-sided",Contopus borealis,COBO,OSFL,4590,A,Woody Upper Canopy,Cup,Insects,Air,Hawker,Forest,NA
"Flycatcher, Scissor-tailed",Tyrannus forficatus,TYFO,STFL,4430,A,"Woody Upper Canopy, Shrub",Cup,"Insects, Fruit","Air, Foliage","Hawker, Foliage Gleaner","Grassland, Shrubland",NA
"Flycatcher, Sulphur-bellied",Myiodynastes luteiventris,MYLU,SBFL,4510,C,Woody Upper Canopy,Cavity,"Insects, Fruit",Air,Hawker,"Riparian, Forest",NA
"Flycatcher, Vermilion",Pyrocephalus rubinus,PYRU,VEFL,4710,A,Woody Upper Canopy,Cup,Insects,Air,"Hawker, Hover & Pounce","Riparian, Forest Edge",NA
"Flycatcher, Western",Empidonax difficilis,EMDI,WEFL,4640,R,"Woody Lower Canopy, Cliff",Cavity,"Insects, Fruit",Air,"Hawker, Hover Gleaner","Forest, Riparian",NA
"Flycatcher, Willow",Empidonax traillii,EMTR,WIFL,4660,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit",Air,"Hawker, Hover Gleaner",Swamp/Marsh,NA
"Flycatcher, Yellow-bellied",Empidonax flaviventris,EMFL,YBFL,4630,A,Ground,Cup,"Insects, Fruit",Air,"Hawker, Hover Gleaner","Forest, Swamp/Marsh",NA
"Frigatebird, Magnificent",Fregata magnificens,FRMA,MAFR,1280,R,"Shrub, Woody Lower Canopy",Platform,"Fish, Aquatic Inverts","Water, Air","Low Patrol, Hawker","Coastal, Pelagic",NA
"Fulmar, Northern",Fulmarus glacialis,FUGL,NOFU,860,R,"Cliff, Ground","Scrape, Saucer","Fish, Aquatic Inverts",Water,"Surface Dips, High Dives",Pelagic,NA
Gadwall,Anas strepera,ANST,GADW,1350,R,Ground,Scrape,"Greens, Insects",Water,"Dabbler, Surface Dives","Swamp/Marsh, Grassland",NA
"Gallinule, Purple",Porphyrula martinica,POMA,PUGA,2180,R,Floating,Platform,"Seeds, Fruit",Ground,Ground Gleaner,Swamp/Marsh,NA
"Gannet, Northern",Sula bassanus,SUBA,NOGA,1170,R,"Cliff, Ground",Platform,Fish,Water,High Dives,"Coastal, Pelagic",NA
"Gnatcatcher, Black-tailed",Polioptila melanura,POME,BTGN,7520,R,"Shrub, Woody Lower Canopy",Cup,"Insects, Seeds","Foliage, Air","Foliage Gleaner, Hover Gleaner",Shrubland,NA
"Gnatcatcher, Blue-gray",Polioptila caerulea,POCA,BGGN,7510,A,Woody Lower Canopy,Cup,Insects,"Foliage, Air","Foliage Gleaner, Hover Gleaner","Forest, Shrubland",NA
